D.O.,PH,CONDUCTIVITY,B.O.D.,NITRATE N+ NITRITEN,FECAL COLIFORM,TOTAL COLIFORM
5.3,7.4,1095,27,3.35,48000,217500
6.7,6.9,1094,17.1,19.4,,
6.2,7,1312,22.3,17.7,,
5.7,7.3,732,10.7,2.4,5450,45500
5,7.2,983,26.1,3.05,32250,135000
5,7.3,748,7.4,2.65,12500,90000
5.1,7.2,760,13.5,2.55,22000,122500
4.5,7.2,856,23.8,3.45,34000,232500
4.4,7.2,1184,18.1,3.75,17250,70000
4.5,7.4,1186,22.7,3.07,13000,78333
5.2,7.5,1036,28.5,3.55,28750,155000
5.5,7.6,973,27.8,3.33,130500,392500
5.6,7.6,951,25.8,3.23,22500,712500
6.4,7.9,378,4.1,0.94,,
6.8,7,970,25.3,20.2,,
5.4,7.8,438,1.7,0.41,3,6
7.9,6.7,120,1.2,,,135
6.2,7.3,135,1.8,,,113
8.2,7.6,176,1.9,,,135
6.6,7.4,112,1.2,,,91
7.9,7.8,196,0.8,,,73
9,8,269,1.8,,,155
,8,698,,,,
9.6,7.6,633,,,,30
3.2,6.8,389,26,,,633
5.5,7.5,375,24,,,383
5,3.2,630,7,2.5,27,33
7,7.8,122,0.65,,,3
7.2,7.8,130,0.93,0.1,,3
6.6,8,151,0.98,,,6
6.7,7.9,188,1.03,,,8
6.1,7.7,120,1.36,,264,350
5.4,7.3,141,2.67,0.08,285,510
5.8,7.8,161,2.93,0.1,518,588
,7.6,253,,2.8,,
7,7.7,448,0.4,0.2,17,42
4.8,7.5,20360,8.8,0.2,23,65
4.9,7.7,904,3.6,,13950,32750
6.4,8,477,2.4,,12325,22825
6.7,7.9,14111,2.9,,10725,21000
5.7,7.6,868,4.2,0.4,5,57
6.2,8,899,3.1,,10275,16500
4.8,7.6,14426,10.4,0.1,32,148
6.2,7.4,29920,3.6,0.2,14,41
,7.5,5414,359,0.1,3,14
4.2,7.8,589,4,,23575,50250
6.8,7.5,2870,2.5,0.1,582,1114
6.5,6.9,1690,1.5,0.1,555,1331
6.5,7.1,3110,1.6,0.1,1243,2056
6.4,7.7,44000,2.3,0.1,814,1287
7.2,7.2,70,1.6,0.1,1554,2887
7.2,6.8,60,2.1,0.1,5778,10403
7.4,7.1,80,1.4,0.1,475,1010
7.2,6.9,80,1.3,0.1,1009,1938
7.4,7,66,2,0.1,700,1451
6.3,6.6,66,1.6,0.1,1427,3293
6.4,7.3,103,4,0.24,126,753
6.7,7.4,103,3.9,0.22,64,644
6.6,7.5,97,3.7,0.25,16,169
5.7,7.2,531,5.3,0.75,116,456
6.4,7.1,113,3.9,0.47,60,400
6.6,7.2,88,3.9,0.45,228,1146
6.2,7.3,117,4,0.5,169,638
5.5,6.6,1314,1.7,0.4,290,668
7.5,6.8,32,0.8,0.3,200,738
6.7,6.8,42,1,0.4,230,804
6.9,6.7,73,0.5,0.2,688,1242
6.8,6.9,7920,0.5,0.2,391,813
7.4,7.2,49,1.1,0.3,327,641
7.2,6.8,58,1.5,0.3,173,556
6.8,6.6,115,2,0.5,148,635
0.8,6.8,2156,7.4,1,14825,20733
7.1,6.1,34,0.6,0.5,1300,1975
5.9,6.2,52,0.5,0.6,1100,1775
5.1,6.2,55,1.1,0.4,1275,2000
6.7,6.2,43,0.7,0.4,1325,2100
5.8,6.2,34,0.6,0.3,975,1625
6.4,6.2,39,0.7,0.4,1375,1900
6.6,6.3,41,0.6,0.3,1033,1442
5.4,6.2,47,0.7,0.5,1250,1825
6.7,6.7,80,1.3,0.5,1655,3050
6.4,7,112,1.4,0.7,3850,5725
6.3,7.1,83,1,0.4,643,1080
6.2,6.5,95,0.8,1.2,1075,2550
6.9,6.4,41,0.5,0.2,83,285
6.8,6.5,51,0.5,0.2,98,435
6.6,6.9,11654,0.7,0.3,338,963
7,7.2,11962,0.3,0.3,68,550
7.5,6.9,52,0.5,0.2,138,685
7.4,6.8,68,0.3,0.2,160,725
2.8,6.6,1239,2.3,0.6,263,645
6.2,7.6,380,0.5,0.5,1318,24583
7.9,7.9,382,2.1,0.21,993,2700
8.1,8,21030,1.7,0.51,146,463
7.2,7.7,244,1.2,0.51,980,1793
6.7,7.6,231,1.5,0.56,1460,3133
7,8.1,637,3.5,1.2,,
7.5,6.5,65,1,0.15,108,319
6.8,6.5,88,0.9,0.11,111,233
6.8,6.5,128,1.8,0.15,295,507
7.8,7.2,250,1.9,0.15,128,249
7.2,6.4,71,1.2,0.12,67,165
7.4,6.5,71,1.5,0.12,98,189
7.6,7.1,428,2.5,0.15,226,443
6.8,7.2,856,2.1,0.32,213,348
7.3,7.3,152,2,1.28,333,998
6.9,7.2,58,1,,14,55
7,7.2,56,1,,4,16.5
7.9,7.9,385,2.5,0.25,11,24
3.9,7.9,2422,74.8,0.78,,
4.9,7.6,972,19.6,1.8,328,718
7.4,7.5,413,2.1,1.23,1663,10775
6.1,7.8,632,8.1,2.9,37250,162500
4.9,8.1,852,26.3,18.1,,
4.5,8.3,996,25.3,15.8,,
6.7,7.6,425,7.4,2.88,22250,78750
6.3,7.7,619,7.3,3.28,28250,125000
6.4,7.7,439,4.2,2.2,60275,440750
6.5,7.7,686,9.8,2.6,19750,105000
6.4,7.8,754,13.8,2.53,56500,227500
6.3,7.7,615,8.2,3.7,34500,622500
6.2,7.6,457,3.7,2.23,8633,49000
6,7.8,690,9.6,3,16250,117500
5.9,7.8,692,11.1,3.5,94000,222500
5.9,7.7,699,10.4,3.33,60500,967500
6.5,8.2,1315,2.2,0.05,,
6.6,8.2,895,26.3,15.5,,
,7.2,,50,0.27,,
,7.4,,50,0.4,,
1,7.3,,49.7,0.6,,
5.6,7.4,168,2.2,0.38,5,16
6.7,7.9,135,0.4,,,3
6.5,7.9,195,0.6,,,3
7.3,7.8,219,0.5,,,
7.7,7.9,227,0.4,,,15
6.2,7,132,1.6,,,102
6.4,7.4,137,2.1,,,58
6.4,7.6,200,1,,,36
7,7.6,210,2.4,,100,137
3.6,7.2,249,4.9,,,383
3.7,7.5,224,4,,,394
7.1,7.3,156,2,,,89
7.1,7.2,127,2,,,60
5.8,7.6,258,1.7,,,118
8.4,7.9,383,0.8,,,180
8.1,7.2,221,5.4,1.95,213,373
6.1,3.1,738,5.5,2.73,32,45
8,7,164,1.7,1.6,1600,2067
5.4,7.2,153,1.7,1.78,213,278
7,7,161,1.7,2.43,250,375
5.2,7.4,120,1.4,0.05,203,280
4.7,7.4,139, ,0.11,308,440
5.4,7.4,128,3,0.06,353,565
6.9,7.2,233,1.5,,,119
,7.61,168.2,,10.3,,
7.102,7.945,307.5,1.525,0.11,26,50
3.487,7.015,25950,9.2,0.228,378,1400
5.35,7.935,735,4.7,0.835,27650,15000
7.05,7.995,535,4.7,1.195,13400,33500
6.5,8.14,16410,5.3,1.397,9200,2400
,7.885,896.5,15,0.42,3,10
5.6,8.173,3660,4.6,0.46,4500,6867
6.085,7.695,933,3.2,0.153,450,1550
6.055,7.605,6715,4.3,0.222,45,140
,7.215,15580,431.5,0.395,7,8
7.93,8.32,2160,1.46,0.277,4,5
4.9,7.943,504.7,3.1,0.603,1810,2367
6.625,7.725,149.3,2.175,0.123,2,60
5.175,6.95,464,1.5,0.7,75,255
6.4,7.45,142.8,2.025,0.155,1787,4073
6.2,7.9,218,1.575,0.615,,85
7.4,6.733,344.3,1.7,0.9,33,160
7.6,6.775,213.3,1.3,0.173,133,3275
7.35,7.1,214.8,1.425,0.15,41,285
7.675,6.875,103.3,1.025,3.367,18,96
7.125,7.55,418.3,1.725,0.45,18,106
7,6.725,497.3,1.575,0.135,1956,5425
6.543,7.229,130.4,4.014,0.307,8,187
6.7,7.307,121.5,3.857,0.264,9,162
7.1,7.507,102.5,4.633,0.21,10,152
6.333,7.277,542,5.4,7.187,15,207
6.471,7.379,204.3,3.729,0.309,10,174
6.371,7.061,214,4.5,0.346,18,292
6.7,7.44,153.3,4.4,0.65,23,305
6.2,6.457,881.1,1.757,0.326,253,541
7.286,6.586,82.9,1.071,0.233,222,470
6.525,6.5,124.1,1.313,0.227,334,844
6.917,6.95,185.4,0.467,0.112,165,433
6.8,7.043,8489.9,0.414,0.153,238,473
7.075,7.25,107.3,0.988,0.369,238,384
7.013,6.712,151.4,1.4,0.397,262,485
6.787,6.65,119.3,1.637,0.4,294,574
4.1,6.775,511.4,6.788,1.373,2150,3100
6.9,6.8,224,0.733,0.438,2000,2500
6.867,6.833,292.7,0.633,0.575,1900,2400
6.467,6.6,240,1.033,0.66,2100,2733
6.667,6.933,268,0.933,0.893,2333,3300
6.967,6.933,268,0.833,0.4,1600,2233
6.733,6.867,324,0.933,0.455,1973,2233
6.714,6.957,143.4,0.671,0.449,1457,2171
6.733,6.733,242.7,0.9,0.743,1867,2833
7.233,6.867,75.7,1.1,0.853,1600,2300
6.233,6.9,104.7,0.867,1.267,1300,2233
6.867,7.067,336.7,0.533,0.285,60,455
6.433,6.667,339.3,0.6,0.292,440,967
7.033,6.533,141.3,0.533,0.135,193,740
6.633,7.067,237,0.633,0.45,337,800
6.833,7,18389,0.7,0.345,173,583
6.333,7.167,24535.7,0.7,0.332,140,447
7.033,7.033,241,0.267,0.232,345,1260
7,7.133,302,0.7,0.168,323,933
3.5,6.567,1285.3,2.133,0.347,220,443
6.243,7.253,405.6,0.857,1.269,3333,21469
6.9,8.2,211,2.8,2.12,1400,2200
7.8,8.5,197,0.6,3.01,1700,3500
7.3,8.6,528,0.9,4.8,,
7.95,6.565,188.5,1.5,0.08,24,66
5.8,6.6,107,1,0.265,25,58
6.975,6.725,144.3,1.5,0.22,34,98
5.35,7.19,216.3,1.325,0.263,11,31
7.525,6.61,93.3,1.5,0.283,10,26
7.15,6.56,141,1.1,0.25,22,73
4.325,7.045,547,2.075,0.25,25,109
6.925,7.633,552,2,0.217,325,570
6.825,7.125,299.3,3.667,1.525,316,771
6.7,7.267,92.7,1.333,,6,41
6.75,7.3,169.3,1.667,,29,47
5.87,7.84,895.5,4.35,,,
6.033,7.367,323.3,3.267,0.667,2390,6867
5.1,7.85,785,12,1.65,3050,36500
4.867,7.367,568,12,1.367,3500,27667
4.833,7.533,760,13.333,1.933,2300,30000
5.1,7.367,388,6.933,1.4,2723,43067
6.8,7.3,433.5,5.4,1.35,635,9250
4.2,7.367,758,14.667,1.7,34033,83667
5.533,7.3,453.3,9.333,1.567,35760,88333
5.2,7.3,391.3,6.267,1.4,23723,54067
4.2,7.733,825.3,21,1.4,10500,76667
4.033,7.667,855,21.333,1.767,17433,148667
4.133,7.633,811.3,20.333,1.667,38700,110333
5.35,7.55,682.5,17,20.45,,
4.05,7.85,773.5,16,19.35,,
6.25,7.9,770,14,19.4,,
6.65,7.875,914.5,43,0.824,9650,16900
7.2,9.01,340.5,4.6,2.955,12,23
6.27,7.89,3638,149.75,,,
6.1,7.1,,3.1,0.3,4,14
0.6,7.3,646,87,6.8,,
,7.9,1151,130,8.3,,
,7.1,912,126,6.7,,
7.2,7,183,5.2,2.6,140,180
4.6,3,350,6.2,2.2,33,49
8.8,7,172,1.6,5,1800,2800
10,7.1,150,1,4,240,350
9,7.3,158,1.8,7.2,220,280
7.767,7.543,,0.5,,,
7.167,8.143,,0.6,,,
8.533,7.857,170,0.4,,,
8.867,7.793,216,0.5,,,
5.6,7.65,375.2,1.758,1.995,2636,18417
,7.76,233.3,10.825,5.657,,
,,,1,1.01,1200,37000
,,,112,5.5,1200000,6400000
7.2,7.84,342.8,1.764,0.528,78,230
5,7.22,18370.3,19.663,0.452,9625,13525
6.2,8.11,480,11.333,0.39,14050,18810
7.2,8.07,580,4,0.37,150,280
6.2,7.98,11125,5,0.39,7147,50350
3.9,7.92,1039,14.847,1.412,6,36
7.2,7.42,246.9,4.632,0.791,10011,118311
6.9,6.44,302.9,2.304,0.231,12,116
7.8,6.69,255.9,2.754,0.348,13,140
6.7,7.35,346.1,1.893,0.973,13,148
8.3,6.68,348.9,2.503,1.686,13,155
8.1,6.18,187.4,2.375,0.196,12,155
7.7,6.55,121.8,2.242,1.136,13,164
8.6,6.56,181.4,2.423,0.276,24,155
7.7,6.45,302.5,2.144,0.163,10,142
7.4,6.07,142.8,1.681,0.276,12,140
7,8.16,4545,4.165,0.343,9593,27550
5.9,7.36,761,6.1,0.083,1200,4600
4.1,7.57,29369.3,7.08,0.302,1035,1993
3.9,5.27,5914,441.8,0.512,3,10
5.7,7.62,665,2.12,0.86,1050,6000
6.1,8,602.5,5.64,1.035,38143,38428
6.2,7.88,540.7,9.75,17.387,,1100
6.3,8.05,634.3,13,10.89,,75
7.1,7.2,280.5,1.6,0.48,74,95
7.4,7.27,253.3,1.333,0.17,,37
7.3,7.3,236.7,4,0.08,,58
5.9,6.6,1359.5,1.755,0.326,170,387
7.4,6.68,39.3,1.164,0.204,125,298
7.1,6.75,41.9,1.325,0.18,147,378
6.8,6.92,70.8,0.458,0.117,151,353
6.8,6.98,7179.1,0.475,0.206,211,466
6.8,7.03,36.8,1.117,0.146,118,624
7.2,6.76,59.8,1.692,0.449,127,357
6.2,6.63,106.8,1.275,0.444,128,360
6.6,6.77,250.7,1.383,1.54,2433,3383
6.9,6.95,51.3,0.625,0.518,1525,3100
6,6.75,641,0.975,0.792,1900,3600
5.4,6.85,73.3,1.075,0.457,4955,8375
6.7,6.93,65,0.675,0.77,2100,4200
6.9,6.85,56.3,0.575,0.383,1933,3400
6.5,6.98,59.3,0.575,0.345,1333,2600
6.8,7.06,63.3,0.567,0.404,1769,2825
5.8,6.73,73,0.7,0.315,1925,3500
6.8,6.8,69.8,0.7,0.61,1100,1775
7.1,6.83,80,0.7,0.835,850,1475
6.3,7.15,65.5,1.05,0.223,98,595
6.3,6.95,77.5,0.65,0.208,253,775
6.9,6.65,34,0.5,0.095,130,215
6.4,6.75,49.3,0.675,0.193,197,350
6.8,7.35,18568.3,1.15,0.14,215,660
6.8,7.08,19740.8,0.975,0.165,127,515
7.1,6.98,58.3,0.55,0.152,123,510
7,7.23,67.5,0.425,0.09,140,453
2.4,6.43,1041.3,2.025,1.05,133,373
6.7,7.56,128.4,4.942,0.447,11,250
6.8,7.68,123.2,4.475,0.4,12,236
6.5,7.33,135.8,4.4,0.33,13,208
5.1,7.45,5168.8,9.875,1.81,7,210
6.5,7.34,128.5,5.125,0.819,11,230
6.6,7.47,143.8,4.958,0.667,16,358
6.6,7.75,136.8,4.5,0.505,15,203
7.9,7.85,76.5,3,,,55
7.4,7,82.3,2.027,,,44
7,7.9,77.5,3.525,,,45
6.9,7.73,85.3,3.233,,,63
7.3,7.77,128.3,4.043,,,66
8,7.8,132,3.4,,,54
5.5,6.58,121.3,11.57,,,315
7,7.43,136.7,8.693,,,252
6.6,7.15,199,7.475,2.1,208,288
6.4,3.05,605,5.067,4.8,18,45
7.1,7.03,147.3,2.1,1,1675,2300
8.1,7.03,148.3,1.967,,230,307
8.3,7.1,152,2.133,,270,413
7.4,6.6,,,,,
6.8,6.3,,,,,
6.1,7.15,,,,,
7.5,7.2,,,,,
7.5,7.8,286.5,1.775,0.51,7448,17625
7.5,7.35,30683,2.25,0.745,1515,2145
6,7.55,214.5,3.125,0.895,2600,10950
6.3,7.43,201.3,2.175,0.76,2825,4500
6.1,8.33,868.5,,1.975,,
8.1,7.86,342.3,2.747,0.24,,
7.3,7.3,157,2.067,0.55,153,348
4.9,7.33,494.7,14.533,2.2,1233,18000
6.3,7.58,379.8,6.7,1.575,1640,4963
6.1,7.58,490,14.25,2.425,4875,27500
6.8,7.43,337.5,4.25,1.225,1175,3043
6.7,7.38,333.5,3.85,1.575,548,11050
5.9,7.48,428,8.35,2.2,4050,22025
6.5,7.4,361.8,4.3,1.9,1158,15875
6.9,7.4,322,3.75,0.975,200,3500
5.1,7.48,496.5,14.7,2.3,4325,23500
5,7.4,515.3,14.76,2.08,8860,37320
5.1,7.43,503.3,16.25,2.3,12938,44000
6.2,7.63,423.3,7,14.013,,43
4.4,8.23,390,1.39,0.08,14,150
4.2,8.52,380,1.26,0.16,28,1100
4,7.65,729,36,2.89,1190,2950
8,8.31,617,4.4,0.655,14,30
4.2,8.55,1184.7,341.833,4,,
5,7.92,160,1.443,0.153,17,149
7.5,7.53,87.3,1.407,0.567,32,133
6.6,7.27,162.3,3.555,0.292,46,156
6.8,7.12,172.3,1.723,0.198,62,283
6.7,7.6,277.8,1.229,0.183,12,33
7.1,6.94,95.8,0.943,0.151,10,26
7.4,7,88.5,0.977,0.186,27,105
6.6,7.81,603.2,2.675,0.263,40,191
6.6,7.49,571.5,2.091,0.256,151,273
5.4,7.16,75.8,2.092,,404,513
5.4,7.37,104.8,1.802,0.215,456,557
5.3,7.37,102.2,2.552,0.202,526,583
7.8,239,6.2,1.7,2.188,2.188,10720
7.5,442,6.7,3.4,,,132
7,430,6.4,2.4,,,175
7.2,216,7.1,1.8,,,167
7.9,352,4.5,4.2,,,158
7,86,7.8,4.7,0.1,0.1,145
6.8,65,7.5,1.8,,,171
7.1,101,7.8,2,0.1,0.1,138
7,78,7.6,1.8,,,145
7.2,60,8,1.9,,,151
6.6,76,7.1,1.9,,,169
,,,,,,
8,368,7.4,1,,,554
7.5,21331,3.6,11.7,,,14109
8.1,540,7.2,2.5,,,540
8.1,443,4,2,,,6477
8.1,467,7.1,3,,,107
7.8,1304,4.6,19.5,,,63
8,1708,7.8,3.5,,,2051
7.5,1175,5.7,4,,,3900
7.5,67115,5,5.5,,,3425
4,9948,0.4,513.5,,,35
7.7,1148,4.8,6.9,2,2,10050
8,590,4.8,1.8,,,2873
7.7,440,6.5,2.4,0.9,0.9,688
6.4,1579,5.8,1.7,0.513,0.513,959
6.8,62,7.5,1.5,0.221,0.221,892
6.9,44,6.8,1,0.151,0.151,734
6.9,62,6.8,0.4,0.21,0.21,802
7,9416,6.7,0.5,0.241,0.241,832
6.9,39,6.9,1.1,0.195,0.195,958
7.1,53,6.9,1.4,0.367,0.367,632
6.9,102,6.4,1.2,0.335,0.335,608
6.8,437,5.7,1.1,0.922,0.922,2933
7.3,58,7,0.6,0.367,0.367,3025
6.9,1835,5.9,1.2,0.61,0.61,2400
6.8,60,5,0.9,0.475,0.475,3050
7.2,80,6.8,0.8,0.252,0.252,12750
7,42,7.3,0.4,0.347,0.347,3800
7,51,6.7,0.5,0.3,0.3,2900
7.1,58,6.8,0.5,0.337,0.337,3000
7,63,6.4,0.6,0.278,0.278,3550
6.8,72,6.6,0.6,0.53,0.53,1350
6.8,83,6.5,0.9,0.417,0.417,1350
7,69,6.4,1.2,0.222,0.222,1400
6.8,88,6.9,0.9,0.307,0.307,1600
6.9,31,7,0.5,0.164,0.164,158
6.8,46,6.9,0.5,0.149,0.149,905
7.2,20850,6.5,0.9,0.477,0.477,1475
7,24336,6.7,1.1,0.529,0.529,620
7.1,77,7.2,0.3,0.411,0.411,985
7.1,76,7,0.4,0.167,0.167,735
6.5,3384,3.7,1.9,0.757,0.757,643
7.7,280,6.6,5.7,0.994,0.994,223
7.8,183,6.9,5,0.497,0.497,211
7.7,107,6.8,5.2,0.386,0.386,208
7.5,185,5.6,6.5,0.514,0.514,224
7.3,157,6,5.6,0.603,0.603,221
7.4,150,6.3,6,0.614,0.614,269
7.4,139,5.8,5.9,0.453,0.453,213
7.3,111,7.1,2.4,,,80
7.4,74,7.5,1.2,,,64
7.5,77,7.4,3.2,,,65
7.3,97,7.3,1.9,,,78
7.4,121,7.5,2.7,,,69
7.4,142,6.7,1.3,,,73
7.3,112,8.1,17.2,,,225
7.5,124,3.7,18.5,,,247
6.9,223,6.3,6.8,,,295
3.1,493,5.8,5.9,,,33
6.9,142,7.3,2.2,,,1573
6.9,145,7.8,1.8,,,245
7,145,7.3,2.3,,,363
8.1,569,8.2,1.6,1.028,1.028,6050
7.7,28598,7.7,1.7,0.962,0.962,3200
7.4,219,6.8,3,0.964,0.964,11300
7.2,198,7.2,2.1,1.03,1.03,4950
8,978,5.4,9,1.24,1.24,
7.6,203,6.3,1.9,0.107,0.107,109
7.2,150,7.5,1.3,0.142,0.142,327
7.3,178,6.7,1.5,0.138,0.138,190
7.1,214,6.8,2.3,0.585,0.585,350
7.5,293,7.2,1.2,0.568,0.568,35
6.9,146,7.1,2,0.506,0.506,38
7,136,7.5,1.4,0.609,0.609,205
7.9,738,7.2,2.7,0.518,0.518,202
7.5,585,6.3,2.6,0.155,0.155,315
7.6,98,6.2,1.2,,,570
7.7,91,6.5,1.3,,,562
7.6,110,5.7,1.1,,,546
